t,scout_x,scout_y,scout_z,mship_x,mship_y,mship_z,sv_x,sv_y,sv_z,mv_x,mv_y,mv_z,r_rel_x,r_rel_y,r_rel_z,v_rel_x,v_rel_y,v_rel_z,lat_err_m,range_to_pad_m,aligned,docked,phase
2.0833,0.71193,0.99230,0.94887,0.71017,0.96730,0.16109,-0.43803,0.31711,-1.28308,-0.43528,0.31957,-0.73308,0.02002,0.01179,0.84124,0.00369,0.00565,-0.60526,0.023228,0.788174,1,0,DESCENDING
2.1250,0.69344,1.00514,0.89790,0.69191,0.98044,0.13178,-0.44388,0.30831,-1.22330,-0.44120,0.31136,-0.67330,0.02003,0.01185,0.81709,0.00317,0.00575,-0.60978,0.023271,0.766519,1,0,DESCENDING
2.1667,0.67471,1.01763,0.84959,0.67340,0.99324,0.10504,-0.44952,0.29970,-1.15937,-0.44696,0.30303,-0.60937,0.02003,0.01190,0.79286,0.00308,0.00528,-0.61393,0.023302,0.744949,1,0,DESCENDING
2.2083,0.65576,1.02977,0.80410,0.65466,1.00569,0.08105,-0.45472,0.29125,-1.09169,-0.45256,0.29460,-0.54169,0.02004,0.01194,0.76854,0.00304,0.00511,-0.61768,0.023330,0.723456,1,0,DESCENDING
2.2500,0.63661,1.04154,0.76157,0.63569,1.01779,0.05995,-0.45967,0.28252,-1.02066,-0.45801,0.28606,-0.47066,0.02007,0.01197,0.74416,0.00329,0.00519,-0.62102,0.023370,0.702031,1,0,DESCENDING
2.2917,0.61723,1.05295,0.72213,0.61650,1.02953,0.04187,-0.46514,0.27392,-0.94674,-0.46329,0.27742,-0.39674,0.02011,0.01201,0.71971,0.00362,0.00509,-0.62393,0.023422,0.680664,1,0,DESCENDING
2.3333,0.59764,1.06401,0.68586,0.59709,1.04091,0.02692,-0.47003,0.26532,-0.87037,-0.46841,0.26869,-0.32037,0.02014,0.01204,0.69521,0.00327,0.00523,-0.62637,0.023466,0.659348,1,0,DESCENDING
2.3750,0.57783,1.07469,0.65286,0.57746,1.05192,0.01520,-0.47548,0.25649,-0.79202,-0.47336,0.25986,-0.24202,0.02018,0.01209,0.67067,0.00333,0.00546,-0.62835,0.023519,0.638071,1,0,DESCENDING
2.4167,0.55781,1.08500,0.62319,0.55764,1.06256,0.00677,-0.48035,0.24736,-0.71218,-0.47815,0.25094,-0.16218,0.02019,0.01213,0.64609,0.00268,0.00555,-0.62984,0.023553,0.616824,1,0,DESCENDING
2.4583,0.53760,1.09495,0.59688,0.53762,1.07283,0.00170,-0.48522,0.23884,-0.63134,-0.48277,0.24193,-0.08134,0.02019,0.01217,0.62149,0.00243,0.00543,-0.63084,0.023577,0.595597,1,0,DESCENDING
2.5000,0.51719,1.10451,0.57396,0.51741,1.08272,0.00000,-0.48983,0.22939,-0.55000,-0.48722,0.23284,-0.00000,0.02019,0.01223,0.59688,0.00200,0.00600,-0.63134,0.023601,0.574378,1,0,DESCENDING
2.5417,0.49661,1.11368,0.55444,0.49702,1.09223,0.00170,-0.49391,0.22016,-0.46866,-0.49150,0.22366,0.08134,0.02017,0.01228,0.57227,0.00168,0.00573,-0.63134,0.023610,0.553158,1,0,DESCENDING
2.5833,0.47586,1.12248,0.53828,0.47646,1.10136,0.00677,-0.49803,0.21107,-0.38782,-0.49561,0.21440,0.16218,0.02015,0.01232,0.54767,0.00170,0.00576,-0.63084,0.023622,0.531926,1,0,DESCENDING
2.6250,0.45495,1.13088,0.52545,0.45572,1.11010,0.01520,-0.50181,0.20177,-0.30798,-0.49954,0.20508,0.24202,0.02013,0.01238,0.52308,0.00151,0.00600,-0.62984,0.023635,0.510673,1,0,DESCENDING
2.6667,0.43390,1.13890,0.51588,0.43483,1.11845,0.02692,-0.50526,0.19235,-0.22963,-0.50330,0.19567,0.32037,0.02012,0.01244,0.49853,0.00149,0.00610,-0.62835,0.023652,0.489387,1,0,DESCENDING
2.7083,0.41269,1.14651,0.50949,0.41378,1.12640,0.04187,-0.50904,0.18266,-0.15326,-0.50688,0.18620,0.39674,0.02011,0.01250,0.47401,0.00162,0.00615,-0.62637,0.023678,0.468058,1,0,DESCENDING
2.7500,0.39133,1.15372,0.50619,0.39259,1.13396,0.05995,-0.51262,0.17309,-0.07934,-0.51028,0.17667,0.47066,0.02009,0.01255,0.44954,0.00124,0.00599,-0.62393,0.023689,0.446678,1,0,DESCENDING
